title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era,filename
Śabdakaustubha,IGO000084237,"Indira Gandhi National Centre for the Arts, Delhi",Government Oriental Manuscripts Library and Research Centre,,,4237,Bhaṭṭojibhaṭṭa,,Sanskrit,Grantha,,,,Malayalam,,,,,8205,18441,,Complete,193,,,51.8,4.2cm,,Plant Products -> Palm leaf / ताड़ पत्र,,,,,29/09/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Abhijñānaśākuntalavyākhyāna- Kumāragirirājīya,IGO000084245,"Indira Gandhi National Centre for the Arts, Delhi",Government Oriental Manuscripts Library and Research Centre,,,4245,,,Sanskrit,Grantha,Kumāragirirājīya,Kaṭyavemabhūpāla,,,,,,,2142,4514,,Complete,52,,,42,3cm,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Brittle",Nāṭaka,,,28/09/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Rāmabhujaṅgastotra,IGO000084242,"Indira Gandhi National Centre for the Arts, Delhi",Government Oriental Manuscripts Library and Research Centre,,,4242,,,Sanskrit,Grantha,,,,,,,,,234,10286,,Complete,2,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Stotra,,,02/11/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Dhaniṣṭhāśānti,IGO000084243,"Indira Gandhi National Centre for the Arts, Delhi",Government Oriental Manuscripts Library and Research Centre,,,4243,"Bodhāyana, Śaunaka",,Sanskrit,Grantha,,,,,,,,,8544,19300,,Complete,4,,,26.5,3.7cm,,Plant Products -> Palm leaf / ताड़ पत्र,,Śānti,,,23/09/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Haṭhayogapradīpikā,IGO000084244,"Indira Gandhi National Centre for the Arts, Delhi",Government Oriental Manuscripts Library and Research Centre,,,4244,Svātmārāmayogi,Gaṇapati,Sanskrit,Grantha,,,,,,,,,8080,17256,,Complete,48,95,,15.8,3.6cm,,Plant Products -> Palm leaf / ताड़ पत्र,,,,,21/09/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Abhiṣekanāṭaka,IGO000084241,"Indira Gandhi National Centre for the Arts, Delhi",Government Oriental Manuscripts Library and Research Centre,,,4241,Bhāsa,,Sanskrit,Devanagari,,,,,,,,,1010,12493,,Complete,61,,,,,,Plant Products -> Paper / कागज,,Nāṭaka,,,09/09/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Brahmamedhavidhi,IGO000084240,"Indira Gandhi National Centre for the Arts, Delhi",Government Oriental Manuscripts Library and Research Centre,,,4240,,,Sanskrit,Grantha,,,,,,,,,7084,14354,,Complete,18,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,,,,09/11/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Jayantīkalpa,IGO000084238,"Indira Gandhi National Centre for the Arts, Delhi",Government Oriental Manuscripts Library and Research Centre,,,4238,,,Sanskrit,Grantha,,,,,,,,,4436,16571,,Complete,2,,,14,1.5in,,Plant Products -> Palm leaf / ताड़ पत्र,,Mantra,,,22/09/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Kanakadurgāśataka,IGO000084239,"Indira Gandhi National Centre for the Arts, Delhi",Government Oriental Manuscripts Library and Research Centre,,,4239,,,Sanskrit,Telugu,,,,,,,,,5294,19626,,Incomplete,8,,,40.6,3.2,,Plant Products -> Palm leaf / ताड़ पत्र,,Stotra,,,21/09/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Rāmāyaṇavyākhyā- Vivekatilaka,IGO000084246,"Indira Gandhi National Centre for the Arts, Delhi",Government Oriental Manuscripts Library and Research Centre,,,4246,Vālmīki,,Sanskrit,Grantha,,Varadarāja,,,,,,,4168,8976,,Incomplete,221,,,38,3,,Plant Products -> Palm leaf / ताड़ पत्र,"Bad, Broken",Rāmāyaṇa,,,21/09/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Ātmabodha,IGO000084247,"Indira Gandhi National Centre for the Arts, Delhi",Government Oriental Manuscripts Library and Research Centre,Prakaraṇaprabandhāvali,,4247,Śaṅkarācārya,,Sanskrit,Grantha,,,,,,,,,7997,17148,,Complete,54,,,23.5,5cm,,Plant Products -> Palm leaf / ताड़ पत्र,,Advaita Vedānta,,,23/09/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Kūpataṭākārāmādipratiṣṭhā,IGO000084248,"Indira Gandhi National Centre for the Arts, Delhi",Government Oriental Manuscripts Library and Research Centre,,,4248,,,Sanskrit,Grantha,,,,,,,,,4436,16603,,Complete,2,,,14,1.5in,,Plant Products -> Palm leaf / ताड़ पत्र,,Karmakāṇḍa,,,22/09/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Subhāṣita,IGO000084249,"Indira Gandhi National Centre for the Arts, Delhi",Government Oriental Manuscripts Library and Research Centre,,,4249,Bhartṛhari,,Sanskrit,Grantha,,,,,,,,,8121,18092,,Complete,28,,,30.2,4.4cm,,Plant Products -> Palm leaf / ताड़ पत्र,,Subhāṣita,,,24/09/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Kṛṣṇayajurvedasaṁhitāpadapāṭha,IGO000084250,"Indira Gandhi National Centre for the Arts, Delhi",Government Oriental Manuscripts Library and Research Centre,,,4250,,,Sanskrit,Grantha,,,,,,,,,1484,2872,,Complete,107,,,17.5,1 3/8,,Plant Products -> Palm leaf / ताड़ पत्र,,Saṃhitā,,,23/09/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Gāyatrīmantra,IGO000084255,"Indira Gandhi National Centre for the Arts, Delhi",Government Oriental Manuscripts Library and Research Centre,,,4255,,,Sanskrit,Grantha,,,,,,,,,3799,8298(e),,Complete,2,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Mantra,,,02/12/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Śiśupālavadha,IGO000084251,"Indira Gandhi National Centre for the Arts, Delhi",Government Oriental Manuscripts Library and Research Centre,,,4251,Māgha,,Sanskrit,Grantha,,,,,,,,,2153,4525(a),,Complete,5,,,14*7/8,1*3/8inch,,Plant Products -> Palm leaf / ताड़ पत्र,,Mahākāvya,,,01/10/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
Vyūhārādhanaprayoga,IGO000084252,"Indira Gandhi National Centre for the Arts, Delhi",Government Oriental Manuscripts Library and Research Centre,,,4252,,,Sanskrit,Telugu,,,,,,,,,228,14414,,Complete,21,,,,,,Plant Products -> Palm leaf / ताड़ पत्र,,Prayoga,,,02/11/2004,,,No,,,,,No,No,,,,,,,manus_dt:,,
